iter	Passed	Remaining
0	2	212
1	4	217
2	6	201
3	7	187
4	9	180
5	11	174
6	11	158
7	13	155
8	15	153
9	16	151
10	18	151
11	20	150
12	22	149
13	23	147
14	25	142
15	26	141
16	28	139
17	30	138
18	32	136
19	33	134
20	35	133
21	37	132
22	38	128
23	39	125
24	40	121
25	41	118
26	43	117
27	45	116
28	46	114
29	48	113
30	50	111
31	51	109
32	52	107
33	54	105
34	55	102
35	57	102
36	59	101
37	60	99
38	62	97
39	64	96
40	66	95
41	66	92
42	68	90
43	69	88
44	72	88
45	73	86
46	75	85
47	76	83
48	78	81
49	80	80
50	81	78
51	83	76
52	84	75
53	86	73
54	87	71
55	88	69
56	91	68
57	92	67
58	94	65
59	95	63
60	98	62
61	99	61
62	101	59
63	102	57
64	104	56
65	105	54
66	107	52
67	108	51
68	110	49
69	112	48
70	112	46
71	114	44
72	116	42
73	117	41
74	119	39
75	120	38
76	122	36
77	123	34
78	125	33
79	126	31
80	128	30
81	130	28
82	131	27
83	133	25
84	134	23
85	136	22
86	138	20
87	139	19
88	141	17
89	142	15
90	144	14
91	146	12
92	147	11
93	149	9
94	150	7
95	152	6
96	153	4
97	155	3
98	156	1
99	158	0
